Cluster Label,Cluster Name,Top Term,Top padj,All Terms
0,Kinase Kinase,dehydratase,7.058511724621489e-40,dehydratase;reductase;transmembrane;synthase;tubulin;component;glutathione;intermediate;insulin;induced
1,Tyrosine Phosphatase,tyrosine,1.2813043125960201e-113,tyrosine;phosphatase;ligase;ubiquitin;mucin;nexin;sorting;receptor;kinesin;transporter
2,Lactate Dehydrogenase,dehydrogenase,5.905601769938082e-212,dehydrogenase;mitochondrial;synthase;aminotransferase;decarboxylase;phosphate;lyase;synthetase;deaminase;cytosolic
3,Zinc Finger,finger,0.0,finger;zinc;lysine;methyltransferase;transcription;histone;bromodomain;response;demethylase;homeobox
4,Coupled Receptor,coupled,0.0,coupled;receptor;chemokine;hydroxytryptamine;purinoceptor;neuropeptide;prostaglandin;acid;hormone;acetylcholine
5,Adhesion Molecule,adhesion,8.823074407563951e-113,adhesion;immunoglobulin;golgi;component;cell;myelin;myosin;vacuolar;surface;sodium
6,Peptidyl Prolyl,peptidyl,4.4843259520230065e-170,peptidyl;isomerase;mannosyltransferase;trans;prolyl;mannosyl;transferase;acetyltransferase;coactivator;monooxygenase
7,Collagen Alpha,collagen,0.0,collagen
8,Transporting Atpase,atpase,9.951601308244278e-76,atpase;importin;calcium;complement;transport;membrane;potassium
9,Coiled Coil,microtubule,3.203323999491347e-38,microtubule;phosphatase;actin;coil;coiled;regulatory;interacting;calmodulin;homology;regulated
10,Proteasome Regulatory,proteasome,3.412070502059581e-56,proteasome;regulatory;synthase;collagen;proton;glycosyltransferase;ribose;chaperone;atpase;regulator
11,Olfactory Receptor,olfactory,0.0,olfactory;receptor;partial
12,Fatty Acid,fatty,1.937670988890347e-40,fatty;monooxygenase;hydroxylase;acid;ribosome;palmitoyltransferase;biogenesis;kinase;muscle;cytoplasmic
13,Fibroblast Growth,fibroblast,1.164e-319,fibroblast;growth;transporter;sodium;chloride;neutral;amino;fibronectin;transmembrane;acid
14,Sperm Acrosome,sulfotransferase,6.318743552719562e-120,sulfotransferase;export;sperm;mrna;multiple;ribonucleoprotein;component;calcium;transcription
15,Transient Receptor,transient,2.1313428949168161e-268,transient;potential;channel;krueppel;cation;subfamily;carboxypeptidase;cytosolic;only;cyclase
16,Dnaj Subfamily,dnaj,1.5542843863848712e-251,dnaj;subfamily;chemokine;calpain;death;myeloid;leukemia;transferase;cell;vacuolar
17,Lectin Member,lectin,0.0,lectin;cell;antigen;bone;subfamily;cells;signal;receptor;derived;coactivator
18,Coiled Coil,centromere,1.044364686003797e-31,centromere;transmembrane;cation;sperm;interacting;coil;coiled;phosphodiesterase;damage;differentiation
19,Disintegrin Metalloproteinase,disintegrin,0.0,disintegrin;metalloproteinase;thrombospondin;motifs;junction;carbonic;anhydrase;tetratricopeptide;peptidase
20,Converting Enzyme,enzyme,1.1125220860371398e-44,enzyme;shock;promoting;heat;tubulin;isomerase;atpase;peptidyl;trans;prolyl
21,Ubiquitin Ligase,peptidase,3.2837651189834645e-16,peptidase;terminal;transmembrane;ring;thioredoxin;glutathione;methionine;kinase;oxidase;mitochondrial
22,Hig Member,carboxypeptidase,1.6639751331725656e-99,carboxypeptidase;mitochondrial;pyruvate;membrane;assembly;sperm;acidic;inner;anchor;translocase
23,Zinc Finger,zinc,0.0,zinc;finger;scan
24,Repeat Containing,ankyrin,4.9898083041531674e-129,ankyrin;kinesin;rich;pleckstrin;homology;spermatogenesis;kappa;cyclic;enhancer;tubulin
25,Initiation Factor,calpain,2.6049821682724e-153,calpain;translation;initiation;paired;proline;basic;collagen;rich;enhancer;poly
26,Receptor Alpha,interleukin,5.24991898160213e-162,interleukin;interferon;fusion;sperm;aminopeptidase;glutathione;acidic;stimulating;linked;cytokine
27,Kinase Catalytic,catalytic,4.350749991918865e-79,catalytic;bisphosphate;kinase;phosphatidylinositol;glycerol;isomerase;ribosylation;cycle;peptidyl;trans
28,Beta Defensin,defensin,6.543017076282365e-290,defensin;inhibitor;nadh;ephrin;protease;four;core;dehydrogenase;disulfide;mitochondrial
29,Phosphorylase Kinase,phosphorylase,1.747999788418061e-122,phosphorylase;regulatory;kinase;muscle;export;melanoma;cytoplasmic;actin;oxidase;leucine
30,Transmembrane Protease,protease,2.565690650962001e-167,protease;serine;complement;transmembrane;peptidyl;trans;dehydrogenase;prolyl;phosphate;isomerase
31,Charged Multivesicular,multivesicular,1.1069336339104476e-181,multivesicular;body;retinoic;glycoprotein;histidine;major;phosphoprotein;acid;methyltransferase
32,Phospholipid Phosphatase,phospholipid,9.344976314160212e-66,phospholipid;splicing;phosphatase;cleavage;helicase;heterogeneous;ribonucleoprotein;mrna;nuclear;glucose
33,Glutamate Receptor,glutamate,2.6539901033402778e-279,glutamate;replication;receptor;extracellular;matrix;flagella;cilia;mitochondrial;subfamily;sulfate
34,Bone Morphogenetic,bone,8.729199509343047e-132,bone;anion;calcium;channel;exchange;chloride;proton;activated;voltage;transforming
35,Coiled Coil,coil,3.0967372533477417e-90,coil;coiled;centrosomal;cycle;spindle;effector;centromere;rich;zipper;suppressor
36,Transcription Factor,homeobox,0.0,homeobox;transcription;forkhead;class;carboxyl;terminal;hydrolase;paired;brain;leukemia
37,Coenzyme Thioesterase,mitochondrial,0.0,mitochondrial;monooxygenase;oxidase;oxidoreductase;coenzyme;acyl;thioesterase;dehydrogenase;assembly;sulfur
38,Lysine Methyltransferase,methyltransferase,0.0,methyltransferase;trna;abhd;synthase;arginine;rrna;lysine;endonuclease;lipase;guanine
39,Factor Receptor,necrosis,2.6754532034667084e-156,necrosis;tumor;kinase;tyrosine;guanine;nucleotide;activating;gtpase;exchange;substrate
40,Voltage Gated,gated,0.0,gated;potassium;channel;voltage;subfamily;cyclic;regulated;nucleotide;intracellular;cation
41,Repeat Containing,armadillo,1.1447070989702364e-106,armadillo;heat;pore;integrator;nuclear;flagella;cilia;regulator;chaperone;initiation
42,Vesicle Associated,vesicle,4.679575177816041e-146,vesicle;membrane;transmembrane;directed;reductase;glycoprotein;transport;lysosomal;initiation;polymerase
43,Regulator Signaling,annexin,2.5245793161757044e-183,annexin;signaling;regulator;aminobutyric;synthase;acid;proton;acyl;mitochondrial;atpase
44,Solute Carrier,solute,0.0,solute;carrier;transporter;monocarboxylate;glucose;organic;anion;major;phosphate;sodium
45,Gamma Crystallin,crystallin,7.417210070770173e-232,crystallin;translocase;inner;import;membrane;mitochondrial;tyrosine;transmembrane;palmitoyltransferase;phosphatase
46,Heterogeneous Nuclear,cadherin,0.0,cadherin;protocadherin;aminopeptidase;heterogeneous;ribonucleoprotein;nuclear;fatty;modulator;partial;damage
47,Growth Factor,growth,1.2419687586532388e-123,growth;insulin;kinase;derived;endothelial;platelet;mitogen;interleukin;regulated;dual
48,Ubiquitin Ligase,ubiquitin,1.483678996345617e-114,ubiquitin;homeobox;transcription;forkhead;ligase;terminal;ring;double;shock;heat
49,Protocadherin Beta,protocadherin,1.5518868820758195e-258,protocadherin;serpin;inhibitor;leukocyte;ligase;protease;splicing;mrna;ubiquitin;activator
50,Melanoma Associated,melanoma,0.0,melanoma;antigen;microtubule;vesicle;transport;phosphate;maintenance;mediator;transporter;sodium
51,Glutathione Transferase,glutathione,1.833125547242237e-200,glutathione;transferase;testis;repair;proteasome;chaperone;glycosyltransferase;prostaglandin;eukaryotic;elongation
52,Nadh Dehydrogenase,cytochrome,1.8774811257888127e-169,cytochrome;nadh;oxidase;dehydrogenase;subcomplex;ubiquinone;tyrosine;integral;mitochondrial;assembly
53,Tetratricopeptide Repeat,tetratricopeptide,2.1696857322762064e-252,tetratricopeptide;potassium;gated;voltage;bisphosphate;channel;loop;phosphodiesterase;transcription;helix
54,Toll Receptor,lymphocyte,2.9435963953006476e-107,lymphocyte;antigen;testis;cadherin;receptor;modifier;heat;activator;surface;density
55,Kinase Kinase,homology,1.5165058607098893e-73,homology;pleckstrin;kinase;activated;unconventional;mitogen;cells;multiple;myosin;amyloid
56,Dna Helicase,helicase,4.9672307161144585e-152,helicase;repair;endonuclease;polymerase;protease;recognition;serine;tubulin;exonuclease;ribosyltransferase
57,Ras Rab,ribosylation,2.7781153840362443e-153,ribosylation;monomeric;gtpase;kappa;intraflagellar;shock;tetratricopeptide;heat;inhibitor;phosphodiesterase
58,Calcitonin Receptor,peptide,9.129980983148325e-80,peptide;neuropeptide;releasing;stimulating;polypeptide;transcript;hormone;directed;inhibitory;polymerase
59,Gtp Binding,unconventional,5.5825819864362584e-39,unconventional;pyruvate;myosin;metalloproteinase;dehydrogenase;inhibitor;component;lyase;secretory;assembly
60,Non Histone,histone,2.2072561875316586e-67,histone;mobility;high;group;cyclin;regulatory;extracellular;matrix;splicing
61,Guanine Nucleotide,guanine,7.1835984632731295e-62,guanine;nucleotide;zeta;transport;translation;protease;transcription
62,Coa Dehydrogenase,acyl,1.1027934712931093e-85,acyl;triphosphate;dehydrogenase;coenzyme;mitochondrial;oxidase;voltage;light;calcium;inactive
63,Nuclear Receptor,phosphodiesterase,8.383028630537613e-188,phosphodiesterase;receptor;nuclear;cyclic;group;subfamily;retinoic;intracellular;chloride;camp
64,Ras Rab,tetraspanin,0.0,tetraspanin;gtpase;ribosome;monomeric;ribosylation;tumor;maintenance;antigen;snrna;activating
65,Beta Acetylglucosaminyltransferase,acetylglucosaminyltransferase,1.8311594613235996e-273,acetylglucosaminyltransferase;galactosyltransferase;glycoprotein;mannosyl;acetylgalactosaminyltransferase;hydroxylase;sulfate;glycosyltransferase;prolyl;transferase
66,Small Nuclear,histone,2.2869604581443317e-176,histone;ribonucleoprotein;snrna;nuclear;actin;protocadherin;rrna;processing;vacuolar;lysine
67,Complex Sigma,mobility,7.154416240688985e-66,mobility;high;camp;group;enhancer;regulatory;cytochrome;major;kinase;guanine
68,Guanine Nucleotide,guanine,1.6608879311345588e-150,guanine;nucleotide;fatty;acid;arginine;dual;cycle;specificity;retinol;light
69,Phosphatidylinositol Phosphate,phosphatidylinositol,5.6639504707852645e-68,phosphatidylinositol;phosphate;mannosidase;kinase;lysosomal;early;response;neutral;enzyme;transcription
70,Small Integral,membrane,6.609954347500708e-78,membrane;transmembrane;integral;gated;voltage;potassium;bound;subfamily;transport;density
71,Olfactory Receptor,olfactory,0.0,olfactory;receptor
72,Large Ribosomal,ribosomal,0.0,ribosomal;tubulin;endothelial;differentiation
73,Class Histocompatibility,histocompatibility,6.514412168347937e-301,histocompatibility;class;antigen;glycoprotein;surface;cell;glycosyltransferase;endothelial;eukaryotic;major
74,Repeat Phosphoinositide,myotubularin,2.3006890358549117e-135,myotubularin;intermediate;phosphoinositide;cysteine;protease;dynein;thioesterase;vacuolar;axonemal;sorting
75,Disco Interacting,interacting,7.213845117529772e-33,interacting;glucose;glycoprotein;bone;ribosomal
76,Transposable Element,derived,3.01503667651409e-126,derived;element;cchc;antigen;diphosphate;cyclase;proton;reductase;atpase;general
77,Creatine Kinase,calmodulin,4.437003453806922e-46,calmodulin;voltage;channel;anion;actin;gated;isomerase;proline;kinase;phosphate
78,Splicing Factor,splicing,3.1224645254548206e-46,splicing;bromodomain;corepressor;translation;initiation;directed;cluster;deacetylase;leukocyte;eukaryotic
79,Solute Carrier,acetylgalactosaminyltransferase,5.134397292876918e-241,acetylgalactosaminyltransferase;transporter;polypeptide;amino;solute;carrier;acid;neutral;coupled;sodium
80,Matrix Metalloproteinase,matrix,8.589709726635816e-108,matrix;metalloproteinase;aminopeptidase;light;dynein;methionine;socs;secretory;recognition;cysteine
81,Ephrin Receptor,ephrin,2.506613707507607e-154,ephrin;receptor;interleukin;growth;fibroblast;density;lipoprotein;adhesion;interactor;syndrome
