Cluster Label,Cluster Name,Dominant Species,Dominant Color,All Enriched,N Enriched,Best padj
0,Solute Carrier,,#666677,,0,1.0
1,Protease Inhibitor,,#666677,,0,1.0
2,Zinc Finger,,#666677,,0,1.0
3,Zinc Finger,,#666677,,0,1.0
4,Collagen Alpha,,#666677,,0,1.0
5,Transcription Factor,,#666677,,0,1.0
6,Interleukin Receptor,,#666677,,0,1.0
7,Alpha Actinin,,#666677,,0,1.0
8,Disintegrin Metalloproteinase,,#666677,,0,1.0
9,Cell Surface,,#666677,,0,1.0
10,Coiled Coil,,#666677,,0,1.0
11,Transmembrane Gamma,,#666677,,0,1.0
12,Large Ribosomal,Sea Lion,#E6194B,Sea Lion,1,2.777311460480527e-59
13,Olfactory Receptor,Polar Bear,#46F0F0,"Polar Bear, Sea Lion, Hippopotamus",3,5.228247891381809e-136
14,Ectonucleoside Triphosphate,,#666677,,0,1.0
15,Repeat Containing,,#666677,,0,1.0
16,Tetratricopeptide Repeat,,#666677,,0,1.0
17,Activating Enzyme,,#666677,,0,1.0
18,Creatine Kinase,,#666677,,0,1.0
19,Melanoma Associated,,#666677,,0,1.0
20,Potassium Channel,,#666677,,0,1.0
21,Kinase Kinase,,#666677,,0,1.0
22,Disulfide Isomerase,,#666677,,0,1.0
23,Ubiquitin Ligase,,#666677,,0,1.0
24,Acyl Glycerol,,#666677,,0,1.0
25,Lectin Member,,#666677,,0,1.0
26,Beta Acetylglucosaminyltransferase,,#666677,,0,1.0
27,Tubulin Alpha,,#666677,,0,1.0
28,Keratin Cytoskeletal,,#666677,,0,1.0
29,Lysm Peptidoglycan,,#666677,,0,1.0
30,Kinase Kinase,,#666677,,0,1.0
31,Conjugating Enzyme,Sea Lion,#E6194B,Sea Lion,1,1.8159182867200393e-05
32,Carbonic Anhydrase,,#666677,,0,1.0
33,Glutamate Receptor,,#666677,,0,1.0
34,Vomeronasal Receptor,Polar Bear,#46F0F0,Polar Bear,1,0.003782079268965268
35,Acid Binding,,#666677,,0,1.0
36,Matrix Metalloproteinase,,#666677,,0,1.0
37,Nadh Dehydrogenase,Sea Lion,#E6194B,Sea Lion,1,0.0076660492835297555
38,Subfamily Member,,#666677,,0,1.0
39,Transcription Factor,,#666677,,0,1.0
40,Coa Ligase,,#666677,,0,1.0
41,Alpha Sialyltransferase,,#666677,,0,1.0
42,Ubiquitin Ligase,,#666677,,0,1.0
43,Pseudouridylate Synthase,,#666677,,0,1.0
44,Complex Beta,,#666677,,0,1.0
45,Rna Helicase,,#666677,,0,1.0
46,Tyrosine Phosphatase,,#666677,,0,1.0
47,Coiled Coil,,#666677,,0,1.0
48,Phosphorylase Kinase,,#666677,,0,1.0
49,Inward Rectifier,,#666677,,0,1.0
50,Zinc Finger,,#666677,,0,1.0
51,Leucine Rich,,#666677,,0,1.0
52,Ras Rab,,#666677,,0,1.0
53,Growth Factor,,#666677,,0,1.0
54,Ras Rab,,#666677,,0,1.0
55,Glycine Acyltransferase,,#666677,,0,1.0
56,Low Quality,,#666677,,0,1.0
57,Motif Chemokine,,#666677,,0,1.0
58,Rho Gtpase,,#666677,,0,1.0
59,Cytoplasmic Polyadenylation,,#666677,,0,1.0
60,Coupled Receptor,,#666677,,0,1.0
61,Tyrosine Phosphatase,,#666677,,0,1.0
62,Solute Carrier,,#666677,,0,1.0
63,Adenylate Cyclase,,#666677,,0,1.0
