Cluster Label,Cluster Name,Dominant Group,Dominant Color,All Enriched,N Enriched,Best padj,Pinniped %,Cetacean %,Hippo %,Carnivore %
0,Kinase Kinase,,#666677,,0,1.0,27.9,43.4,14.3,14.4
1,Tyrosine Phosphatase,,#666677,,0,1.0,28.2,43.5,13.9,14.3
2,Lactate Dehydrogenase,,#666677,,0,1.0,29.6,41.4,14.5,14.5
3,Zinc Finger,,#666677,,0,1.0,28.6,42.8,14.3,14.3
4,Coupled Receptor,,#666677,,0,1.0,28.9,42.0,14.3,14.8
5,Adhesion Molecule,,#666677,,0,1.0,28.4,42.5,15.6,13.5
6,Peptidyl Prolyl,,#666677,,0,1.0,29.2,42.7,14.3,13.8
7,Collagen Alpha,,#666677,,0,1.0,28.5,42.7,14.1,14.7
8,Transporting Atpase,,#666677,,0,1.0,28.2,42.5,15.0,14.3
9,Coiled Coil,,#666677,,0,1.0,28.8,42.1,14.3,14.8
10,Proteasome Regulatory,,#666677,,0,1.0,28.1,43.8,15.0,13.1
11,Olfactory Receptor,Carnivore,#06D6A0,"Carnivore, Hippo",2,2.4971944156879982e-200,30.9,12.5,17.9,38.7
12,Fatty Acid,,#666677,,0,1.0,30.1,42.8,14.4,12.7
13,Fibroblast Growth,,#666677,,0,1.0,28.9,42.1,13.8,15.2
14,Sperm Acrosome,,#666677,,0,1.0,31.1,37.7,15.9,15.2
15,Transient Receptor,,#666677,,0,1.0,28.8,42.1,14.3,14.8
16,Dnaj Subfamily,,#666677,,0,1.0,30.2,42.0,15.3,12.6
17,Lectin Member,,#666677,,0,1.0,29.3,36.8,16.5,17.4
18,Coiled Coil,,#666677,,0,1.0,29.3,42.1,14.0,14.6
19,Disintegrin Metalloproteinase,,#666677,,0,1.0,28.7,41.8,14.4,15.1
20,Converting Enzyme,,#666677,,0,1.0,29.4,41.7,15.1,13.9
21,Ubiquitin Ligase,Cetacean,#4CC9F0,Cetacean,1,4.925169211354218e-14,23.0,50.7,15.2,11.2
22,Hig Member,,#666677,,0,1.0,29.9,41.6,14.8,13.7
23,Zinc Finger,,#666677,,0,1.0,28.2,42.1,13.8,15.9
24,Repeat Containing,,#666677,,0,1.0,29.1,42.2,14.7,14.0
25,Initiation Factor,,#666677,,0,1.0,33.0,40.0,12.8,14.2
