Cluster Label,Cluster Name,Top OG,Top OG Description,Top padj,N Enriched OGs,All OGs
0,Kinase Kinase,460068at40674,very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2,3.2387079249924596e-30,91,460068at40674;453192at40674;462477at40674;103294at40674;197623at40674;196294at40674;15460at40674;124652at40674;206240at40674;200244at40674
1,Tyrosine Phosphatase,313364at40674,kinesin-like protein KIF1B,1.600194763841688e-29,98,313364at40674;465762at40674;454849at40674;18098at40674;384242at40674;384078at40674;198661at40674;169903at40674;214149at40674;214811at40674
2,Lactate Dehydrogenase,195682at40674,Arginase,2.70609188033548e-26,220,195682at40674;320588at40674;452832at40674;454962at40674;456583at40674;457950at40674;457063at40674;455713at40674;452947at40674;451603at40674
3,Zinc Finger,456801at40674,histone-lysine n-methyltransferase,8.23677223683862e-25,217,456801at40674;207223at40674;412290at40674;302132at40674;462108at40674;58297at40674;350677at40674;468822at40674;466025at40674;472045at40674
4,Coupled Receptor,463494at40674,somatostatin receptor type 1,1.8537819372087733e-21,222,463494at40674;459780at40674;211251at40674;420452at40674;457218at40674;466101at40674;142322at40674;103134at40674;181609at40674;188772at40674
5,Adhesion Molecule,471898at40674,poliovirus receptor,3.6503894938446117e-31,98,471898at40674;389119at40674;199969at40674;114920at40674;130627at40674;147485at40674;199095at40674;112070at40674;208996at40674;199996at40674
6,Peptidyl Prolyl,198440at40674,acetyl-CoA carboxylase 1,1.2740885895913224e-30,83,198440at40674;470442at40674;225917at40674;194322at40674;451303at40674;134791at40674;118064at40674;136521at40674;176051at40674;146137at40674
7,Collagen Alpha,453361at40674,Wnt,3.031464551566881e-31,48,453361at40674;460966at40674;451846at40674;241602at40674;199843at40674;187343at40674;19425at40674;190182at40674;373485at40674;216276at40674
8,Transporting Atpase,197918at40674,transportin-1,4.8376782299090714e-20,30,197918at40674;451414at40674;130964at40674;108147at40674;186662at40674;201151at40674;201558at40674;116204at40674;271643at40674;307874at40674
9,Coiled Coil,466288at40674,ecotropic viral integration site 5,1.9775026684511565e-26,169,466288at40674;461941at40674;465957at40674;470080at40674;471405at40674;472139at40674;170775at40674;158090at40674;212864at40674;205120at40674
10,Proteasome Regulatory,261821at40674,26S proteasome regulatory subunit 10B,1.6840106772426876e-21,22,261821at40674;392593at40674;458932at40674;236336at40674;253915at40674;296361at40674;296493at40674;143962at40674;377062at40674;412084at40674
11,Olfactory Receptor,454696at40674,Olfactory receptor,5.697568605764184e-19,117,454696at40674;463578at40674;459141at40674;436984at40674;465022at40674;466663at40674;161383at40674;455430at40674;46726at40674;460625at40674
12,Fatty Acid,453917at40674,Ras-related protein Rab-6A,2.1361533997406895e-34,26,453917at40674;454527at40674;458720at40674;452464at40674;8907at40674;452085at40674;332754at40674;149500at40674;328652at40674;323254at40674
13,Fibroblast Growth,454040at40674,sodium-dependent noradrenaline transporter,2.389486963649201e-34,44,454040at40674;382869at40674;454302at40674;237747at40674;388178at40674;200831at40674;195443at40674;133051at40674;247103at40674;263164at40674
14,Sperm Acrosome,462290at40674,transcription and mRNA export factor ENY2,2.486022052916554e-22,32,462290at40674;10622at40674;452318at40674;453658at40674;297346at40674;205920at40674;256839at40674;258526at40674;424736at40674;425791at40674
15,Transient Receptor,461600at40674,anoctamin-1,1.824284136413039e-25,138,461600at40674;455318at40674;451137at40674;28245at40674;457110at40674;460305at40674;469946at40674;180659at40674;204836at40674;207148at40674
16,Dnaj Subfamily,309295at40674,dnaj homolog subfamily a member,1.849854194348595e-25,31,309295at40674;462620at40674;468032at40674;471311at40674;451020at40674;22614at40674;185946at40674;193355at40674;368034at40674;266791at40674
17,Lectin Member,458014at40674,c-type lectin domain family 10,5.881205834529565e-32,40,458014at40674;469367at40674;458312at40674;155874at40674;471180at40674;415562at40674;207251at40674;206399at40674;373222at40674;386000at40674
18,Coiled Coil,470038at40674,Vasculin-like protein 1,1.1533361916883047e-16,161,470038at40674;467645at40674;209264at40674;208663at40674;437346at40674;458748at40674;406490at40674;337081at40674;437218at40674;465732at40674
19,Disintegrin Metalloproteinase,457027at40674,carbonic anhydrase,3.834090728542683e-18,83,457027at40674;198962at40674;452049at40674;24854at40674;467628at40674;197928at40674;197777at40674;196613at40674;206241at40674;204887at40674
20,Converting Enzyme,451598at40674,peptidyl-prolyl cis-trans isomerase FKBP1B isoform a,3.47634098647685e-36,33,451598at40674;459430at40674;465192at40674;464383at40674;460592at40674;453602at40674;18594at40674;283152at40674;458104at40674;454746at40674
